,XOM,CVX,MRO,PSX,VLO,SLB,HAL,OXY,EQT
XOM,1.0,0.8232877624468107,0.7851221319807855,0.6316798460906661,0.7981902749140264,0.7312084913605948,0.7178003512207212,0.7561968948950136,0.40656630843707353
CVX,0.8232877624468107,1.0,0.7463387713777941,0.6523144769587071,0.7744397253718649,0.6697697239514262,0.6685177112559516,0.7666644600500548,0.3850428525347037
MRO,0.7851221319807855,0.7463387713777941,1.0,0.6777782457991596,0.7939277967772114,0.7163256455863005,0.7251448275457699,0.8755570734097116,0.5934635804070035
PSX,0.6316798460906661,0.6523144769587071,0.6777782457991596,1.0,0.7619275002548634,0.5892495816363651,0.5304115430914639,0.6407553897496253,0.3474067051393188
VLO,0.7981902749140264,0.7744397253718649,0.7939277967772114,0.7619275002548634,1.0,0.6369531270921232,0.5978146386504135,0.7218031371631123,0.4097978039041476
SLB,0.7312084913605948,0.6697697239514262,0.7163256455863005,0.5892495816363651,0.6369531270921232,1.0,0.9057440450261786,0.6634586327023941,0.3378019676281181
HAL,0.7178003512207212,0.6685177112559516,0.7251448275457699,0.5304115430914639,0.5978146386504135,0.9057440450261786,1.0,0.6511783681162726,0.4548265132111844
OXY,0.7561968948950136,0.7666644600500548,0.8755570734097116,0.6407553897496253,0.7218031371631123,0.6634586327023941,0.6511783681162726,1.0,0.49364043232005456
EQT,0.40656630843707353,0.3850428525347037,0.5934635804070035,0.3474067051393188,0.4097978039041476,0.3378019676281181,0.4548265132111844,0.49364043232005456,1.0
