,,0
HAL,SLB,0.9057440450261786
OXY,MRO,0.8755570734097116
CVX,XOM,0.8232877624468107
VLO,XOM,0.7981902749140264
VLO,MRO,0.7939277967772114
MRO,XOM,0.7851221319807855
VLO,CVX,0.7744397253718649
OXY,CVX,0.7666644600500548
VLO,PSX,0.7619275002548634
OXY,XOM,0.7561968948950136
MRO,CVX,0.7463387713777941
SLB,XOM,0.7312084913605948
HAL,MRO,0.7251448275457699
OXY,VLO,0.7218031371631123
HAL,XOM,0.7178003512207212
SLB,MRO,0.7163256455863005
PSX,MRO,0.6777782457991596
SLB,CVX,0.6697697239514262
HAL,CVX,0.6685177112559516
OXY,SLB,0.6634586327023941
PSX,CVX,0.6523144769587071
OXY,HAL,0.6511783681162726
OXY,PSX,0.6407553897496253
SLB,VLO,0.6369531270921232
PSX,XOM,0.6316798460906661
HAL,VLO,0.5978146386504135
EQT,MRO,0.5934635804070035
SLB,PSX,0.5892495816363651
HAL,PSX,0.5304115430914639
EQT,OXY,0.49364043232005456
EQT,HAL,0.4548265132111844
EQT,VLO,0.4097978039041476
EQT,XOM,0.40656630843707353
EQT,CVX,0.3850428525347037
EQT,PSX,0.3474067051393188
EQT,SLB,0.3378019676281181
